code,title,description,text
1114.9900,1114.9900 Executives,"Senior Officials of Special-interest Organizations, Other Managing Directors and Chief Executives formulate and review the policies and plan, direct co-ordinate and evaluate the Senior Officials of Humanitarian and other overall activities of enterprises or Special-interest Organizations, Other organizations (except special interest include senior officials of humanitarian organizations and government and other special-interest organizations departments). They work with the support who determine and formulate policies, of other managers, usually within rules and regulations of humanitarian guidelines established by a Board of organizations, sports associations or other Directors or a governing body to whom special-interest organizations. Directs they are answerable for the operations their application, represents these undertaken and their result. organizations and acts on their behalf.","1114.9900 Executives Senior Officials of Special-interest Organizations, Other Managing Directors and Chief Executives formulate and review the policies and plan, direct co-ordinate and evaluate the Senior Officials of Humanitarian and other overall activities of enterprises or Special-interest Organizations, Other organizations (except special interest include senior officials of humanitarian organizations and government and other special-interest organizations departments). They work with the support who determine and formulate policies, of other managers, usually within rules and regulations of humanitarian guidelines established by a Board of organizations, sports associations or other Directors or a governing body to whom special-interest organizations. Directs they are answerable for the operations their application, represents these undertaken and their result. organizations and acts on their behalf."
1120.0100,1120.0100,"ISCO 08 Unit Group Details: Working Proprietor, Electricity Code 1114 Title Senior Officials of Special-interest Organizations Working Proprietor, Electricity plans, organizes and controls in broad outline, within authority delegated, activities of Group 112 private or public organizations or VOLUME II A 8","1120.0100 ISCO 08 Unit Group Details: Working Proprietor, Electricity Code 1114 Title Senior Officials of Special-interest Organizations Working Proprietor, Electricity plans, organizes and controls in broad outline, within authority delegated, activities of Group 112 private or public organizations or VOLUME II A 8"
1120.0200,1120.0200 to domestic and industrial consumers. Is,"Working Proprietor, Gas designated according to work performed or powers exercised. Working Proprietor, Gas plans, organizes and controls, within authority delegated ISCO 08 Unit Group Details: activities of public or private organizations Code 1120 or enterprises, or one or more of its Title Managing Directors and Chief departments, sections or branches, Executives engaged in manufacture of gas, distribution and supply of gas to 1120.0500 consumers and production and supply of Director, Gas steam for heat and power. Is designated according to work performed or powers Director, Gas heads the organization and exercised. is supported by more than one manager. Determines, plans, organizes and controls, ISCO 08 Unit Group Details: within authority delegated activities of Code 1120 public or private organizations or Title Managing Directors and Chief enterprises, or one or more of its Executives departments, sections or branches, engaged in manufacture of gas,","1120.0200 to domestic and industrial consumers. Is Working Proprietor, Gas designated according to work performed or powers exercised. Working Proprietor, Gas plans, organizes and controls, within authority delegated ISCO 08 Unit Group Details: activities of public or private organizations Code 1120 or enterprises, or one or more of its Title Managing Directors and Chief departments, sections or branches, Executives engaged in manufacture of gas, distribution and supply of gas to 1120.0500 consumers and production and supply of Director, Gas steam for heat and power. Is designated according to work performed or powers Director, Gas heads the organization and exercised. is supported by more than one manager. Determines, plans, organizes and controls, ISCO 08 Unit Group Details: within authority delegated activities of Code 1120 public or private organizations or Title Managing Directors and Chief enterprises, or one or more of its Executives departments, sections or branches, engaged in manufacture of gas,"
1120.0300,1120.0300 distribution and supply of gas to,"Working Proprietor, Water Supply consumers and production and supply of steam for heat and power. Is designated according to work performed or powers Working Proprietor, Water Supply plans, exercised. organizes and co-ordinates, within authority delegated, activities of public or ISCO 08 Unit Group Details: private organizations engaged in storage, filtration, purification and supply of water. Code 1120 Title Managing Directors and Chief ISCO 08 Unit Group Details: Executives","1120.0300 distribution and supply of gas to Working Proprietor, Water Supply consumers and production and supply of steam for heat and power. Is designated according to work performed or powers Working Proprietor, Water Supply plans, exercised. organizes and co-ordinates, within authority delegated, activities of public or ISCO 08 Unit Group Details: private organizations engaged in storage, filtration, purification and supply of water. Code 1120 Title Managing Directors and Chief ISCO 08 Unit Group Details: Executives"
1120.0600,1120.0600,"Code 1120 Title Managing Directors and Chief Director, Water Supply Executives VOLUME II A 9","1120.0600 Code 1120 Title Managing Directors and Chief Director, Water Supply Executives VOLUME II A 9"
1120.0700,1120.0700,"extraction of coal, ore, mica, precious Director, Bank stones and other minerals from underground mines or open pits, and Director, Bank sets broad policies and treatment of minerals for use by plans and supervises in general way, consumers. Is designated according to within authority delegated, efficient mineral extracted such as: WORKING operation of private or public bank or PROPRIETOR, GOLD MINE, WORKING major segment of it. May be designated PROPRIETOR, DIAMOND MINE, WORKING according to authority delegated or work PROPRIETOR, COAL MINE, WORKING performed such as: GOVERNOR (BANK), PROPRIETOR, IRON MINE, WORKING CHAIRMAN (BANK), MANAGING PROPRIETOR, MANGANESE, MINE DIRECTOR (BANK). WORKING PROPRIETOR, COPPER MINE WORKING PROPRIETOR, MICA MINE. ISCO 08 Unit Group Details: Code 1120 ISCO 08 Unit Group Details: Title Managing Directors and Chief Code 1120 Executives Title Managing Directors and Chief Executives","1120.0700 extraction of coal, ore, mica, precious Director, Bank stones and other minerals from underground mines or open pits, and Director, Bank sets broad policies and treatment of minerals for use by plans and supervises in general way, consumers. Is designated according to within authority delegated, efficient mineral extracted such as: WORKING operation of private or public bank or PROPRIETOR, GOLD MINE, WORKING major segment of it. May be designated PROPRIETOR, DIAMOND MINE, WORKING according to authority delegated or work PROPRIETOR, COAL MINE, WORKING performed such as: GOVERNOR (BANK), PROPRIETOR, IRON MINE, WORKING CHAIRMAN (BANK), MANAGING PROPRIETOR, MANGANESE, MINE DIRECTOR (BANK). WORKING PROPRIETOR, COPPER MINE WORKING PROPRIETOR, MICA MINE. ISCO 08 Unit Group Details: Code 1120 ISCO 08 Unit Group Details: Title Managing Directors and Chief Code 1120 Executives Title Managing Directors and Chief Executives"
1120.0800,1120.0800,"Director, Insurance 1120.1000 Working Proprietor, Director, Insurance sets broad policies, Quarry/Proprietor, Quarry plans and co-ordinates within authority delegated, activities of private or public Working Proprietor, Quarry plans, organization, or major segment of it, organizes, directs and controls the dealing in life, fire, accident, marine and enterprise, wholly or partially and is other general insurance business. Is engaged in economic activities related to designated according to work performed extraction of stone, slate, sand and clay or authority exercised, such as: from earth. Is designated according to the CHAIRMAN, LIFE INSURANCE material quarried such as: CORPORATION, MANAGING DIRECTOR, WORKING PROPRIETOR, STONE QUARRY, (INSURANCE), DIRECTOR, INVESTMENTS WORKING PROPRIETOR, SLATE QUARRY. (INSURANCE). VOLUME II A 10","1120.0800 Director, Insurance 1120.1000 Working Proprietor, Director, Insurance sets broad policies, Quarry/Proprietor, Quarry plans and co-ordinates within authority delegated, activities of private or public Working Proprietor, Quarry plans, organization, or major segment of it, organizes, directs and controls the dealing in life, fire, accident, marine and enterprise, wholly or partially and is other general insurance business. Is engaged in economic activities related to designated according to work performed extraction of stone, slate, sand and clay or authority exercised, such as: from earth. Is designated according to the CHAIRMAN, LIFE INSURANCE material quarried such as: CORPORATION, MANAGING DIRECTOR, WORKING PROPRIETOR, STONE QUARRY, (INSURANCE), DIRECTOR, INVESTMENTS WORKING PROPRIETOR, SLATE QUARRY. (INSURANCE). VOLUME II A 10"
1120.1100,1120.1100 1120.1300,"Working Proprietor, Well Director, Construction Drilling/Proprietor, Well Drilling Director, Construction plans, co-ordinates Working Proprietor, Well Drilling plans, and controls, within powers delegated, organizes, directs and controls the activities of public or private organizations enterprise wholly or partially and is or one or more of its branches or engaged in economic activities related to departments engaged in construction, drilling and sinking of deep wells, and maintenance and repairs of buildings, operating wells for extraction of crude roads, bridges, railway tracks, petroleum, natural gas, water and other aerodromes, canals, dams, etc. Is liquids and semi-liquids from deep below designated according to work performed earth’s surface. or authority exercised such as: Is designated according to the type of well MANAGING DIRECTOR(CONSTRUCTION). such as: PROJECT DIRECTOR(CONSTRUCTION). WORKING PROPRIETOR, OIL WELL. WORKING PROPRIETOR, GAS WELL. ISCO 08 Unit Group Details: WORKING PROPRIETOR, WATER WELL. Code 1120 Title Managing Directors and Chief ISCO 08 Unit Group Details: Executives Code 1120 Title Managing Directors and Chief 1120.1400 Executives Director, Mines","1120.1100 1120.1300 Working Proprietor, Well Director, Construction Drilling/Proprietor, Well Drilling Director, Construction plans, co-ordinates Working Proprietor, Well Drilling plans, and controls, within powers delegated, organizes, directs and controls the activities of public or private organizations enterprise wholly or partially and is or one or more of its branches or engaged in economic activities related to departments engaged in construction, drilling and sinking of deep wells, and maintenance and repairs of buildings, operating wells for extraction of crude roads, bridges, railway tracks, petroleum, natural gas, water and other aerodromes, canals, dams, etc. Is liquids and semi-liquids from deep below designated according to work performed earth’s surface. or authority exercised such as: Is designated according to the type of well MANAGING DIRECTOR(CONSTRUCTION). such as: PROJECT DIRECTOR(CONSTRUCTION). WORKING PROPRIETOR, OIL WELL. WORKING PROPRIETOR, GAS WELL. ISCO 08 Unit Group Details: WORKING PROPRIETOR, WATER WELL. Code 1120 Title Managing Directors and Chief ISCO 08 Unit Group Details: Executives Code 1120 Title Managing Directors and Chief 1120.1400 Executives Director, Mines"
1120.1200,1120.1200,"Director, Mine plans, directs and co- Working Proprietor, ordinates, within powers delegated Construction/Proprietor, activities of public or private organizations Construction engaged in extracting coal, ores, mica, precious stones and other solid minerals from underground mines or open pits and Working Proprietor, Construction in treating and dressing ore or minerals at formulates policies, plans, organizes and mine site. Is designated according to work controls activities of the organization or performed or powers delegated such as: enterprise, wholly or partially., Is engaged MANAGING DIRECTOR (MINES). in construction, maintenance and repair DIRECTOR, SALES (MINES). of buildings, roads, bridges, railway tracks, aerodromes, canals, dams, etc. Is ISCO 08 Unit Group Details: designated as: CONTRACTOR, BUILDING CONSTRUCTION. Code 1120 CONTRACTOR, CANAL CONSTRUCTION, Title Managing Directors and Chief etc. Executives VOLUME II A 11","1120.1200 Director, Mine plans, directs and co- Working Proprietor, ordinates, within powers delegated Construction/Proprietor, activities of public or private organizations Construction engaged in extracting coal, ores, mica, precious stones and other solid minerals from underground mines or open pits and Working Proprietor, Construction in treating and dressing ore or minerals at formulates policies, plans, organizes and mine site. Is designated according to work controls activities of the organization or performed or powers delegated such as: enterprise, wholly or partially., Is engaged MANAGING DIRECTOR (MINES). in construction, maintenance and repair DIRECTOR, SALES (MINES). of buildings, roads, bridges, railway tracks, aerodromes, canals, dams, etc. Is ISCO 08 Unit Group Details: designated as: CONTRACTOR, BUILDING CONSTRUCTION. Code 1120 CONTRACTOR, CANAL CONSTRUCTION, Title Managing Directors and Chief etc. Executives VOLUME II A 11"
1120.1500,"1120.1500 Working Proprietor, Manufacturing plans","Director, Quarry organizes, co-ordinates and controls activities of enterprises wholly or partially and is engaged in producing, maintaining Director, Quarry plans, directs and co- or repairing capital and consumer goods ordinates, within powers delegated, excluding crops, minerals, electricity and activities of public or private organization natural gas. Is designated according to the engaged in excavating stone, slate, clay industry owned and controlled, such as: and sand from earth. Is designated WORKING PROPRIETOR, TEXTILE MILLS, according to work performed or powers WORKING PROPRIETOR, ENGINEERING exercised such as: MANAGING DIRECTOR, WORKSHOP. WORKING PROPRIETOR, QUARRY, DIRECTOR, STONE QUARRY. SHOE FACTORY, WORKING PROPRIETOR, DIRECTOR, MARBLE QUARRY. DIRECTOR, GLASS FACTORY. WORKING PROPRIETOR, LIMESTONE QUARRY. STEEL ROLLING MILLS WORKING PROPRIETOR PRINTING PRESS, ISCO 08 Unit Group Details: WORKING PROPRIETOR, Code 1120 TANNERY, Title Managing Directors and Chief WORKING PROPRIETOR, BAKERY. Executives ISCO 08 Unit Group Details:","1120.1500 Working Proprietor, Manufacturing plans Director, Quarry organizes, co-ordinates and controls activities of enterprises wholly or partially and is engaged in producing, maintaining Director, Quarry plans, directs and co- or repairing capital and consumer goods ordinates, within powers delegated, excluding crops, minerals, electricity and activities of public or private organization natural gas. Is designated according to the engaged in excavating stone, slate, clay industry owned and controlled, such as: and sand from earth. Is designated WORKING PROPRIETOR, TEXTILE MILLS, according to work performed or powers WORKING PROPRIETOR, ENGINEERING exercised such as: MANAGING DIRECTOR, WORKSHOP. WORKING PROPRIETOR, QUARRY, DIRECTOR, STONE QUARRY. SHOE FACTORY, WORKING PROPRIETOR, DIRECTOR, MARBLE QUARRY. DIRECTOR, GLASS FACTORY. WORKING PROPRIETOR, LIMESTONE QUARRY. STEEL ROLLING MILLS WORKING PROPRIETOR PRINTING PRESS, ISCO 08 Unit Group Details: WORKING PROPRIETOR, Code 1120 TANNERY, Title Managing Directors and Chief WORKING PROPRIETOR, BAKERY. Executives ISCO 08 Unit Group Details:"
1120.1600,1120.1600,"Code 1120 Director, Well Drilling Title Managing Directors and Chief Executives Director, Well Drilling plans, directs and co-ordinates, within powers delegated, 1120.1800 activities of public or private organization Director Manufacturing engaged in drilling and sinking deep wells and operating wells for extraction of Director, Manufacturing plans, organizes, mineral oil, natural gas, etc. Is designated co-ordinates and controls within authority according to work performed or economic delegated, activities of private or public activity directed, such as: MANAGING organizations, or one or more of its DIRECTOR, OIL WELL, MANAGING departments or branches, engaged in DIRECTOR, GAS WELL, DIRECTOR, OIL producing, maintaining or repairing capital WELL, DIRECTOR, GAS WELL. or consumer goods, excluding crops, minerals, electricity and natural gas. Is ISCO 08 Unit Group Details: designated according to work performed, Code 1120 authority exercised or economic activity Title Managing Directors and Chief directed such as: MANAGING DIRECTOR, Executives (MANUFACTURING). DIRECTOR, PRODUCTION(MANUFACTURING).","1120.1600 Code 1120 Director, Well Drilling Title Managing Directors and Chief Executives Director, Well Drilling plans, directs and co-ordinates, within powers delegated, 1120.1800 activities of public or private organization Director Manufacturing engaged in drilling and sinking deep wells and operating wells for extraction of Director, Manufacturing plans, organizes, mineral oil, natural gas, etc. Is designated co-ordinates and controls within authority according to work performed or economic delegated, activities of private or public activity directed, such as: MANAGING organizations, or one or more of its DIRECTOR, OIL WELL, MANAGING departments or branches, engaged in DIRECTOR, GAS WELL, DIRECTOR, OIL producing, maintaining or repairing capital WELL, DIRECTOR, GAS WELL. or consumer goods, excluding crops, minerals, electricity and natural gas. Is ISCO 08 Unit Group Details: designated according to work performed, Code 1120 authority exercised or economic activity Title Managing Directors and Chief directed such as: MANAGING DIRECTOR, Executives (MANUFACTURING). DIRECTOR, PRODUCTION(MANUFACTURING)."
1120.1700,1120.1700,"DIRECTOR, WORKS(MANUFACTURING). Working Proprietor, DIRECTOR, STEEL PLANT. DIRECTOR, Manufacturing/Proprietor, TANNERY. DIRECTOR, BAKERY. DIRECTOR, Manufacturing SADDLERY. VOLUME II A 12","1120.1700 DIRECTOR, WORKS(MANUFACTURING). Working Proprietor, DIRECTOR, STEEL PLANT. DIRECTOR, Manufacturing/Proprietor, TANNERY. DIRECTOR, BAKERY. DIRECTOR, Manufacturing SADDLERY. VOLUME II A 12"
1120.1900,1120.1900 ISCO 08 Unit Group Details:,"Working Proprietor, Wholesale Code 1120 Title Managing Directors and Chief Trade/Proprietor, Wholesale Trade Executives Working Proprietor, Wholesale Trade","1120.1900 ISCO 08 Unit Group Details: Working Proprietor, Wholesale Code 1120 Title Managing Directors and Chief Trade/Proprietor, Wholesale Trade Executives Working Proprietor, Wholesale Trade"
